id,quiz,option1,option2,option3,option4,answer,cite
105,かつおに含まれる，代謝を高める栄養素は？,ビタミンB6,ビタミンC,鉄,カルシウム,ビタミンB6は，PMS症状改善と代謝UP効果があります！,https://www.bosei-navi.mhlw.go.jp/
106,カキに含まれる，貧血予防をする栄養素は？,ビタミンB12,ビタミンE,カルシウム,ナトリウム,ビタミンB12は，赤血球やヘモグロビンの産生に関与し，貧血予防・眼精疲労改善効果があります！,https://www.bosei-navi.mhlw.go.jp/
107,カキに含まれる，赤血球やヘモグロビンの産生に関与する栄養素は？,ビタミンB12,ビタミンE,カルシウム,ナトリウム,ビタミンB12は，赤血球やヘモグロビンの産生に関与し，貧血予防・眼精疲労改善効果があります！,https://www.bosei-navi.mhlw.go.jp/
108,シャケに含まれる，免疫向上に役立つ栄養素は？,ビタミンD,ビタミンB6,鉄,マグネシウム,ビタミンDは，骨の健康の維持と免疫向上に役立ちます！,https://www.bosei-navi.mhlw.go.jp/
109,シャケに含まれる，骨の健康を保つ栄養素は？,ビタミンD,ビタミンB6,鉄,マグネシウム,ビタミンDは，骨の健康の維持と免疫向上に役立ちます！,https://www.bosei-navi.mhlw.go.jp/
110,小魚に含まれる，新しい骨や歯の細胞を作る栄養素は？,カルシウム,ビタミンB2,ビタミンK,ビタミンA,カルシウムは，新しい骨や歯の細胞をつくり、 神経やホルモンの働きにも作用します！,https://www.bosei-navi.mhlw.go.jp/
111,小魚に含まれる，神経やホルモンの働きに作用する栄養素は？,カルシウム,ビタミンB2,ビタミンK,ビタミンA,カルシウムは，新しい骨や歯の細胞をつくり、 神経やホルモンの働きにも作用します！,https://www.bosei-navi.mhlw.go.jp/
112,ひじきに含まれる，PMS症状の緩和軽減をする栄養素は？,鉄,ビタミンB12,ビタミンC,カルシウム,鉄は，めまいや頭痛を緩和し，PMS症状の緩和軽減効果もあります！	,https://www.bosei-navi.mhlw.go.jp/
113,ひじきに含まれる，めまいや頭痛を緩和する栄養素は？,鉄,ビタミンB12,ビタミンC,カルシウム,鉄は，めまいや頭痛を緩和し，PMS症状の緩和軽減効果もあります！	,https://www.bosei-navi.mhlw.go.jp/
114,チーズに含まれる，皮膚や髪のトラブルを改善する栄養素は？,亜鉛,マグネシウム,ビタミンB6,ビタミンC,亜鉛は，皮膚や髪のトラブルの改善，貧血予防効果があります！,https://www.bosei-navi.mhlw.go.jp/
115,チーズに含まれる，貧血を予防する栄養素は？,亜鉛,マグネシウム,ビタミンB6,ビタミンC,亜鉛は，皮膚や髪のトラブルの改善，貧血予防効果があります！,https://www.bosei-navi.mhlw.go.jp/
